Instance, Avg Running Time (s), Number of Iterations
input/m11519.in,0.00146657,3410
input/m13477.in,0.0044051,1138
input/m15768.in,0.00357489,1402
input/m18448.in,0.00673925,744
input/m21584.in,0.00267467,1875
input/m25253.in,0.00869739,575
input/m29546.in,0.00740473,677
